"","City","State","Pop_est","lat","long"
"63","Santa Ana","California",335400,33.7365,-117.8826
"64","Orange","California",140992,33.8048,-117.8249
"65","Irvine","California",256927,33.6784,-117.7713
"66","Pomona","California",153266,34.0586,-117.7613
"67","Anaheim","California",350742,33.8555,-117.7601
"68","Ontario","California",171214,34.0395,-117.6088
"69","Rancho Cucamonga","California",175236,34.1233,-117.5642
"70","Corona","California",164226,33.8624,-117.5639
"71","Jurupa Valley","California",100314,33.0011,-117.4706
"72","Fontana","California",207460,34.1088,-117.4627
"73","Spokane","Washington",213272,47.6736,-117.4166
"74","Riverside","California",322424,33.9381,-117.3932
"75","Rialto","California",103132,34.1118,-117.3883
"76","Victorville","California",122225,34.5277,-117.3536
"77","Oceanside","California",175691,33.2246,-117.3062
"78","San Bernardino","California",216108,34.1393,-117.2953
"79","Carlsbad","California",113453,33.1239,-117.2828
"80","Vista","California",100890,33.1936,-117.2411
"81","Moreno Valley","California",204198,33.9233,-117.2057
"82","Murrieta","California",109830,33.5719,-117.1907
"83","San Diego","California",1394928,32.8153,-117.135
"84","Temecula","California",112011,33.5019,-117.1246
"85","Escondido","California",151451,33.1336,-117.0732
"86","Chula Vista","California",265757,32.6277,-117.0152
"87","El Cajon","California",103679,32.8017,-116.9605
"88","Boise","Idaho",218281,43.5985,-116.2311
"89","Las Vegas","Nevada",623747,36.2277,-115.264
"90","North Las Vegas","Nevada",234807,36.283,-115.0893
"91","Henderson","Nevada",285667,36.0122,-115.0375
"92","Surprise","Arizona",128422,33.6706,-112.4527
"93","Peoria","Arizona",171237,33.7877,-112.3111
"94","Glendale","Arizona",240126,33.5331,-112.1899
"95","Phoenix","Arizona",1563025,33.5722,-112.088
"96","West Valley City","Utah",136208,40.6885,-112.0118
"97","West Jordan","Utah",111946,40.6023,-112.001
"98","Tempe","Arizona",175826,33.3884,-111.9318
"99","Salt Lake City","Utah",192672,40.7785,-111.9314
"100","Chandler","Arizona",260828,33.2829,-111.8549
"101","Scottsdale","Arizona",236839,33.6687,-111.8237
"102","Gilbert","Arizona",247542,33.3102,-111.7422
"103","Mesa","Arizona",471825,33.4019,-111.7174
"104","Provo","Utah",115264,40.2453,-111.6448
"105","Tucson","Arizona",531641,32.1543,-110.8711
"106","Billings","Montana",110263,45.7895,-108.5499
"107","Las Cruces","New Mexico",101643,32.3197,-106.7653
"108","Albuquerque","New Mexico",559121,35.1056,-106.6474
"109","El Paso","Texas",681124,31.8484,-106.427
"110","Boulder","Colorado",107349,40.0175,-105.2797
"111","Lakewood","Colorado",152597,39.6989,-105.1176
"112","Arvada","Colorado",115368,39.8097,-105.1066
"113","Fort Collins","Colorado",161175,40.5482,-105.0648
"114","Westminster","Colorado",113130,39.8822,-105.0644
"115","Thornton","Colorado",133451,39.918,-104.9454
"116","Denver","Colorado",682545,39.7618,-104.8806
"117","Centennial","Colorado",109741,39.5906,-104.8691
"118","Aurora","Colorado",359407,39.7082,-104.8235
"119","Colorado Springs","Colorado",456568,38.8673,-104.7607
"120","Greeley","Colorado",100883,40.4167,-104.7167
"121","Pueblo","Colorado",109412,38.2731,-104.6124
"122","Odessa","Texas",118968,31.8804,-102.3434
"123","Midland","Texas",132950,32.0299,-102.1097
"124","Lubbock","Texas",249042,33.5665,-101.8867
"125","Amarillo","Texas",198645,35.1978,-101.8287
"126","San Angelo","Texas",100450,31.45,-100.45
"127","Abilene","Texas",121721,32.4545,-99.7381
"128","Laredo","Texas",255473,27.5477,-99.4869
"129","Wichita Falls","Texas",104710,33.9067,-98.5259
"130","San Antonio","Texas",1469845,29.4724,-98.5251
"131","McAllen","Texas",140269,26.2185,-98.2461
"132","Austin","Texas",931830,30.3072,-97.756
"133","Killeen","Texas",140806,31.0777,-97.732
"134","Round Rock","Texas",115997,30.5237,-97.6674
"135","Oklahoma City","Oklahoma",631346,35.4671,-97.5137
"136","Brownsville","Texas",183887,26.0183,-97.4538
"137","Norman","Oklahoma",120284,35.22,-97.44
"138","Fort Worth","Texas",833319,32.7795,-97.3463
"139","Wichita","Kansas",389965,37.6907,-97.3427
"140","Waco","Texas",132356,31.5601,-97.186
"141","Corpus Christi","Texas",324074,27.7543,-97.1734
"142","Denton","Texas",131044,33.2151,-97.1417
"143","Arlington","Texas",388125,32.7007,-97.1247
"144","Grand Prairie","Texas",187809,32.6842,-97.021
"145","Lewisville","Texas",104039,33.0383,-97.0061
"146","Irving","Texas",236607,32.8577,-96.97
"147","Carrollton","Texas",133168,32.9884,-96.8998
"148","Fargo","North Dakota",118523,46.8652,-96.829
"149","Frisco","Texas",154407,33.151,-96.8193
"150","Dallas","Texas",1300092,32.7757,-96.7967
"151","Plano","Texas",283558,33.0508,-96.7479
"152","Sioux Falls","South Dakota",171544,43.5383,-96.732
"153","Richardson","Texas",110815,32.9723,-96.7081
"154","Lincoln","Nebraska",277348,40.809,-96.6804
"155","McKinney","Texas",162898,33.2012,-96.668
"156","Garland","Texas",236897,32.9098,-96.6304
"157","Mesquite","Texas",144788,32.7639,-96.5924
"158","College Station","Texas",107889,30.6013,-96.3144
"159","Omaha","Nebraska",443885,41.2647,-96.0419
"160","Tulsa","Oklahoma",403505,36.1279,-95.9023
"161","Broken Arrow","Oklahoma",106563,36.0365,-95.781
"162","Topeka","Kansas",127265,39.0362,-95.6948
"163","Houston","Texas",2296224,29.7805,-95.3863
"164","Tyler","Texas",103700,32.35,-95.3
"165","Pearland","Texas",108821,29.5544,-95.2958
